Date,Open,High,Low,Close,Adj Close,Volume
2019-01-13,15.640000,15.655000,15.630000,15.635000,15.635000,10541
2019-01-14,15.590000,15.615000,15.590000,15.609000,15.609000,38
2019-01-15,15.610000,15.625000,15.546000,15.546000,15.546000,64
2019-01-16,15.535000,15.600000,15.535000,15.564000,15.564000,7
2019-01-17,15.467000,15.510000,15.467000,15.467000,15.467000,27
2019-01-18,15.330000,15.330000,15.290000,15.330000,15.330000,14
2019-01-20,15.375000,15.375000,15.360000,15.365000,15.365000,17360
2019-01-22,15.295000,15.295000,15.140000,15.259000,15.259000,16
2019-01-23,15.310000,15.320000,15.280000,15.317000,15.317000,10
2019-01-24,15.238000,15.270000,15.238000,15.238000,15.238000,7
2019-01-25,15.250000,15.639000,15.250000,15.639000,15.639000,7
2019-01-27,15.755000,15.765000,15.730000,15.735000,15.735000,17739
2019-01-28,15.595000,15.709000,15.595000,15.709000,15.709000,7
2019-01-29,15.786000,15.786000,15.786000,15.786000,15.786000,120
2019-01-30,15.805000,15.885000,15.805000,15.880000,15.880000,65
2019-01-31,16.059999,16.139999,16.000000,16.021999,16.021999,64
2019-02-01,16.010000,16.010000,15.860000,15.880000,15.880000,79
2019-02-03,15.920000,15.935000,15.900000,15.910000,15.910000,9127
2019-02-04,15.837000,15.837000,15.837000,15.837000,15.837000,26
2019-02-05,15.790000,15.790000,15.790000,15.790000,15.790000,10
2019-02-06,15.710000,15.710000,15.656000,15.656000,15.656000,13
2019-02-07,15.660000,15.690000,15.660000,15.675000,15.675000,6
2019-02-08,15.820000,15.820000,15.773000,15.773000,15.773000,2
2019-02-10,15.805000,15.820000,15.800000,15.820000,15.820000,3380
2019-02-11,15.657000,15.657000,15.650000,15.657000,15.657000,2
2019-02-12,15.660000,15.660000,15.660000,15.660000,15.660000,0
2019-02-13,15.710000,15.755000,15.605000,15.624000,15.624000,30
2019-02-14,15.500000,15.500000,15.500000,15.500000,15.500000,0
2019-02-15,15.723000,15.723000,15.723000,15.723000,15.723000,2
2019-02-17,15.760000,15.760000,15.740000,15.750000,15.750000,9648
2019-02-19,15.947000,15.947000,15.947000,15.947000,15.947000,0
2019-02-20,16.157000,16.157000,16.059999,16.157000,16.157000,2
2019-02-21,15.970000,15.970000,15.791000,15.791000,15.791000,12
2019-02-22,15.908000,15.908000,15.908000,15.908000,15.908000,12
2019-02-24,15.885000,15.900000,15.870000,15.885000,15.885000,12356
2019-02-25,15.945000,15.945000,15.825000,15.825000,15.825000,1
2019-02-26,15.827000,15.827000,15.827000,15.827000,15.827000,60807
2019-02-27,15.890000,15.920000,15.645000,15.672000,15.672000,17247
2019-02-28,15.675000,15.765000,15.520000,15.538000,15.538000,1031
2019-03-01,15.555000,15.575000,15.080000,15.169000,15.169000,585
2019-03-03,15.225000,15.275000,15.225000,15.255000,15.255000,36856
